"filename", "language", "JSON", "CSS", "JavaScript", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\BasicRules\Movement.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\BasicRules\Orders.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\BasicRules\Psychology.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 1, 43
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\BasicRules\Shooting.js", "JavaScript", 0, 0, 179, 0, 0, 0, 0, 1, 180
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\BasicRules\SquareBases.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 2, 54
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\BasicRules\TheTurn.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 2, 60
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\GenericUnits.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\GenericUnitsNavbar.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\InfantryUnitListItem.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 1, 66
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\InfantryUnits.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\SPGs.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\SupportUnits.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\Tanks.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\VehicleUnitListItem.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 1, 61
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\infantryUnitList.json", "JSON", 197, 0, 0, 0, 0, 0, 0, 1, 198
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\spgUnitList.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\supportUnitList.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Generic Units\tankUnitList.json", "JSON", 83, 0, 0, 0, 0, 0, 0, 1, 84
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\Home.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 2, 54
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\components\MasterNavbar.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 2, 55
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\graphics\battlefield.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\graphics\deployment.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\graphics\square-base-diagram.svg", "XML", 0, 0, 0, 40, 0, 0, 0, 0, 40
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\index.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\styles\numberHeadings.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\styles\style.css", "CSS", 0, 128, 0, 0, 0, 0, 4, 33, 165
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\unit-lists\clansUnits.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\unit-lists\cultsUnits.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\unit-lists\empireUnits.json", "JSON", 429, 0, 0, 0, 0, 0, 0, 1, 430
"c:\Users\David\source\repos\40k-bolt-action-react-app\src\unit-lists\federationUnits.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 30969, 172, 2569, 83, 2, 11, 4, 134, 33944
